"INDEX_NAME","REAL_LS","REAL_DCA","PROB_LS_LT_0","PROB_DCA_LT_0","PROB_LS_GT_REAL","PROB_DCA_GT_REAL","ST_DATE","ED_DATE"
"ARGENTINA","6.10308866343645","0.889818186097613","22.569776213226","20.4626602967061","50.5908976615539","38.058838320342","1993-02-20","2019-07-20"
"AUSTRALIA","10.1127136885284","5.08968541139085","0.86","1.375","50.015","10.69","1993-02-20","2019-07-20"
"AUSTRIA","3.79455275312899","1.48285801943955","20.4390537289495","20.0330793905373","53.5334803528468","36.2068965517241","1993-02-20","2019-07-20"
"BELGIUM","7.37166261632547","3.01079627413867","5.22702215094718","6.27944271825198","49.8245965721159","16.4177608499549","1993-02-20","2019-07-20"
"BRAZIL","13.0409001362874","5.64908216116737","5.73901731211848","6.16931852296608","48.1286900830581","23.5865105573902","1993-02-20","2019-07-20"
"CANADA","9.22287442032374","4.43797711934111","1.005","1.8","51.03","11.975","1993-02-20","2019-07-20"
"CHILE","6.48585559075214","2.94514722836725","10.18","11.465","45.495","19.115","1993-02-20","2019-07-20"
"CHINA","1.570239142541","3.81975893029516","35.2776388194097","31.9609804902451","55.6128064032016","52.456228114057","1993-02-20","2019-07-20"
"COLOMBIA","11.3356337714581","7.62159874391048","3.33","4.105","50.465","20.97","1993-02-20","2019-07-20"
"DENMARK","11.9774544982103","6.74425370227654","0.145","0.38","51.42","8.35","1993-02-20","2019-07-20"
"FRANCE","7.81712914640564","3.57944827025292","3.05","4.005","49.005","13.045","1993-02-20","2019-07-20"
"GERMANY","7.70528253171836","3.27384800012598","4.22626788036411","5.31659497849355","52.4857457237171","19.5008502550765","1993-02-20","2019-07-20"
"GREECE","-4.75922206224774","-4.78734692672106","76.6296352660681","67.1688733323188","47.8212347182063","84.2743367321057","1993-02-20","2019-07-20"
"HONG KONG","9.00026904490212","4.37900521141825","3.70703887137926","4.59752864075241","51.0480764420431","19.2505878233028","1993-02-20","2019-07-20"
"INDIA","8.790019268734","5.5056738231348","6.07","7.04","52.51","24.785","1993-02-20","2019-07-20"
"INDONESIA","6.48806607402315","6.35848629677453","23.6768655537416","20.0484491021117","49.4233503607352","37.3058086260467","1993-02-20","2019-07-20"
"IRELAND","3.76020154969288","0.464991038948304","19.6107934597251","19.2045340555723","52.2168723041428","32.5308456214264","1993-02-20","2019-07-20"
"ISRAEL","4.6063664374951","2.16191011372049","15.1325662831416","15.5477738869435","53.3316658329165","31.1705852926463","1993-02-20","2019-07-20"
"ITALY","5.32674493684138","1.48457420543422","13.495","14.27","49.005","25.73","1993-02-20","2019-07-20"
"JAPAN","2.8247530122947","1.67742789768697","20.89","21.42","50.645","31.015","1993-02-20","2019-07-20"
"JORDAN","2.30097982658333","0.808841656490888","33.915","33.405","41.35","27.165","1993-02-20","2019-07-20"
"KOREA","6.75495755081261","4.16646015424516","16.0843011613937","15.2833400080096","50.2853424108931","32.0234281137365","1993-02-20","2019-07-20"
"MALAYSIA","4.70261390893176","2.72229839236651","22.6348547717842","21.4730290456432","48.8329875518672","31.8360995850622","1993-02-20","2019-07-20"
"MEXICO","6.8821012650526","3.88928646035358","13.0126025205041","13.1526305261052","47.6145229045809","24.8949789957992","1993-02-20","2019-07-20"
"NETHERLANDS","9.2908685982811","4.21625332902549","1.27531882970743","2.12053013253313","50.0225056264066","11.5678919729932","1993-02-20","2019-07-20"
"NEW ZEALAND","9.71568517834616","4.85722932155859","1.485","2.09","51.005","14.33","1993-02-20","2019-07-20"
"NORWAY","8.99484421963166","3.99291569195808","5.66028301415071","6.71533576678834","44.3522176108805","15.4607730386519","1993-02-20","2019-07-20"
"PAKISTAN","3.99305708978004","2.27352371660956","28.8580479710364","25.9918539749585","49.4946447427968","38.9852667571781","1993-02-20","2019-07-20"
"PERU","15.2566919855763","8.50401625159787","0.930046502325116","1.31006550327516","48.7974398719936","14.5357267863393","1993-02-20","2019-07-20"
"PHILIPPINES","4.3238404205781","4.29250860635078","20.9020902090209","19.9019901990199","52.4352435243524","35.6535653565357","1993-02-20","2019-07-20"
"POLAND","10.152058692614","2.14756266415341","9.54338128414616","9.52834444388752","52.6540023056488","31.8329908275274","1993-02-20","2019-07-20"
"PORTUGAL","4.51494133620995","0.66191762113077","16.185","17.04","48.635","26.11","1993-02-20","2019-07-20"
"SINGAPORE","6.70241720123796","3.55153762976679","12.5533428165007","12.4009347693558","48.9991871570819","24.4106888843731","1993-02-20","2019-07-20"
"SOUTH AFRICA","9.04363000227015","4.05284820249172","5.52","6.39","48.055","18.975","1993-02-20","2019-07-20"
"SPAIN","8.45838655816238","3.13124732475911","4.23","5.295","49.2","17.545","1993-02-20","2019-07-20"
"SRI LANKA","5.33909259595648","3.44518271294594","22.5717300638159","20.8883975679614","50.7512185317321","36.1439123662128","1993-02-20","2019-07-20"
"SWEDEN","11.8213783781673","4.9283230509088","1.34006700335017","2.03510175508775","47.6773838691935","12.6706335316766","1993-02-20","2019-07-20"
"SWITZERLAND","10.6000182210369","4.9517989278933","0.065","0.2","49.795","5.085","1993-02-20","2019-07-20"
"TAIWAN","6.36316399663428","3.1901142852556","10.395","11.28","54.045","30.515","1993-02-20","2019-07-20"
"THAILAND","4.26514295780818","5.72855026970642","30.0988971159323","26.2724589654637","48.8220369699166","39.6572257028944","1993-02-20","2019-07-20"
"TURKEY","7.56031312444745","1.69892322932041","21.2503125781445","18.1195298824706","51.2728182045511","40.2900725181295","1993-02-20","2019-07-20"
"UNITED KINGDOM","6.71995058403332","2.42957396121632","1.96","3.035","49.695","10.94","1993-02-20","2019-07-20"
"USA","9.73728196408092","5.14493965468472","0.065","0.22","50.915","4.64","1993-02-20","2019-07-20"
