"INDEX","YEARS","THRESHOLD","DD_50","DD_100","DD_200","DD_500"
"NIFTY 50","1993/1997","-5","0.09","0.12","-0.11","0.16"
"NIFTY 50","1992/1996","-5","0.09","0.02","-0.17","0.15"
"NIFTY 50","1991/1995","-5","0.02","-0.12","-0.37","0.21"
"NIFTY 50","1990/1994","-5","-0.29","-0.4","-0.57","0.32"
"NIFTY 50","1989/1993","-5","0.05","-0.26","-0.55","0"
"NIFTY 50","1993/1997","-10","-0.6","-0.86","-0.96","0.67"
"NIFTY 50","1992/1996","-10","-0.9","-1.25","-1.1","0.63"
"NIFTY 50","1991/1995","-10","-1.19","-1.87","-1.66","0.87"
"NIFTY 50","1990/1994","-10","-4.58","-4.55","-2.54","1.33"
"NIFTY 50","1989/1993","-10","-5.97","-6.37","-3.93","0"
"NIFTY 50","1993/1997","-15","0.8","1.65","1.48","2.1"
"NIFTY 50","1992/1996","-15","0.7","1.66","0.89","1.64"
"NIFTY 50","1991/1995","-15","0.15","1.18","0.16","2.24"
"NIFTY 50","1990/1994","-15","-5.69","-1.69","0.2","3.43"
"NIFTY 50","1989/1993","-15","-14.02","-6.73","-4.08","0"
"NIFTY 50","1993/1997","-20","2.28","6.91","5.12","4.27"
"NIFTY 50","1992/1996","-20","9.16","7.2","4.76","3.71"
"NIFTY 50","1991/1995","-20","6.08","4.67","3.28","4.91"
"NIFTY 50","1990/1994","-20","-7.19","-1.51","-1.39","3.1"
"NIFTY 50","1989/1993","-20","-13.8","-5.63","-5.67","0.01"
"NIFTY 50","1993/1997","-25","5.97","9.5","9.7","7.24"
"NIFTY 50","1992/1996","-25","20.49","8.61","8.84","5.77"
"NIFTY 50","1991/1995","-25","17.05","4.44","5.94","7.11"
"NIFTY 50","1990/1994","-25","-6.21","-8.83","-1.89","2.9"
"NIFTY 50","1989/1993","-25","-12.04","-16.49","-6.37","-0.11"
"NIFTY BANK","2002/2006","-5","-1.27","-0.91","-0.33","-0.29"
"NIFTY BANK","2001/2005","-5","-1.13","-0.99","-0.35","-0.3"
"NIFTY BANK","2000/2004","-5","-1.28","-1.29","-0.5","-0.45"
"NIFTY BANK","1999/2003","-5","-0.99","-1.04","-0.41","-0.34"
"NIFTY BANK","1998/2002","-5","-0.52","-0.63","0.33","-0.02"
"NIFTY BANK","2002/2006","-10","-12.46","-6.27","-5.56","-5.96"
"NIFTY BANK","2001/2005","-10","-13.53","-7.01","-6.23","-6.66"
"NIFTY BANK","2000/2004","-10","-15.9","-8.41","-7.32","-7.81"
"NIFTY BANK","1999/2003","-10","-17.59","-9.7","-9.23","-9.85"
"NIFTY BANK","1998/2002","-10","-3.37","1.54","2.32","-0.02"
"NIFTY BANK","2002/2006","-15","-30.24","-29.25","-6.92","-8.8"
"NIFTY BANK","2001/2005","-15","-33.19","-32.25","-7.77","-9.83"
"NIFTY BANK","2000/2004","-15","-38.28","-37.04","-9.15","-11.49"
"NIFTY BANK","1999/2003","-15","-47.81","-47.81","-13.15","-16.03"
"NIFTY BANK","1998/2002","-15","-12.09","-12.09","6.57","0.77"
"NIFTY BANK","2002/2006","-20","-29.31","-28.24","-27.36","-6.7"
"NIFTY BANK","2001/2005","-20","-34.86","-33.44","-32.25","-9.58"
"NIFTY BANK","2000/2004","-20","-36.44","-35.29","-34.3","-8.59"
"NIFTY BANK","1999/2003","-20","-47.81","-47.81","-47.45","-13.67"
"NIFTY BANK","1998/2002","-20","-12.09","-12.09","-11.85","5.53"
"NIFTY BANK","2002/2006","-25","-20.98","-20.2","-20.2","-17.98"
"NIFTY BANK","2001/2005","-25","-27.31","-26.1","-26.1","-23.67"
"NIFTY BANK","2000/2004","-25","-27.84","-26.85","-26.85","-24.1"
"NIFTY BANK","1999/2003","-25","-47.81","-47.81","-47.81","-43.72"
"NIFTY BANK","1998/2002","-25","-12.09","-12.09","-12.09","-9.66"
"NIFTY MIDCAP 100","2003/2007","-5","-2.47","-1.98","-1.99","-1.73"
"NIFTY MIDCAP 100","2002/2006","-5","-2.64","-2.1","-2.11","-1.82"
"NIFTY MIDCAP 100","2001/2005","-5","-2.48","-1.99","-1.91","-1.58"
"NIFTY MIDCAP 100","2000/2004","-5","-2.7","-2.08","-1.98","-1.55"
"NIFTY MIDCAP 100","1999/2003","-5","-3.77","-3.32","-3.19","-2.61"
"NIFTY MIDCAP 100","2003/2007","-10","-11.08","-9.88","-8.88","-8.24"
"NIFTY MIDCAP 100","2002/2006","-10","-12.1","-10.65","-9.37","-8.67"
"NIFTY MIDCAP 100","2001/2005","-10","-12.85","-11.5","-10.28","-9.48"
"NIFTY MIDCAP 100","2000/2004","-10","-15.94","-13.95","-12.35","-11.35"
"NIFTY MIDCAP 100","1999/2003","-10","-24.22","-22.64","-20.29","-18.64"
"NIFTY MIDCAP 100","2003/2007","-15","-22.08","-20.76","-11.84","-11.92"
"NIFTY MIDCAP 100","2002/2006","-15","-22.76","-21.03","-11.27","-11.35"
"NIFTY MIDCAP 100","2001/2005","-15","-24.93","-23.43","-12.27","-12.37"
"NIFTY MIDCAP 100","2000/2004","-15","-24.19","-22.97","-9.15","-9.26"
"NIFTY MIDCAP 100","1999/2003","-15","-45.24","-45.24","-20.41","-20.56"
"NIFTY MIDCAP 100","2003/2007","-20","-19.94","-19.42","-12.83","-13.2"
"NIFTY MIDCAP 100","2002/2006","-20","-16.69","-16.47","-9.26","-9.66"
"NIFTY MIDCAP 100","2001/2005","-20","-18.52","-18.54","-10.29","-10.75"
"NIFTY MIDCAP 100","2000/2004","-20","-16.09","-16.1","-5.94","-6.51"
"NIFTY MIDCAP 100","1999/2003","-20","-45.24","-45.24","-24.53","-25.43"
"NIFTY MIDCAP 100","2003/2007","-25","-19.11","-18.79","-17.31","-17.31"
"NIFTY MIDCAP 100","2002/2006","-25","-15.76","-15.6","-13.98","-13.98"
"NIFTY MIDCAP 100","2001/2005","-25","-21.01","-21.01","-18.99","-18.99"
"NIFTY MIDCAP 100","2000/2004","-25","-18.26","-18.26","-16.42","-16.42"
"NIFTY MIDCAP 100","1999/2003","-25","-45.24","-45.24","-45.24","-45.24"
"NIFTY SMLCAP 100","2005/2009","-5","-2.37","-2.01","-1.51","-1.42"
"NIFTY SMLCAP 100","2004/2008","-5","-2.28","-2.03","-2.03","-2.03"
"NIFTY SMLCAP 100","2003/2007","-5","-3.62","-3.19","-3.18","-3.18"
"NIFTY SMLCAP 100","2002/2006","-5","-5.04","-4.31","-4.3","-4.3"
"NIFTY SMLCAP 100","2001/2005","-5","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-10","-1.49","-0.95","-0.06","-0.12"
"NIFTY SMLCAP 100","2004/2008","-10","-0.16","-0.18","-0.18","-0.18"
"NIFTY SMLCAP 100","2003/2007","-10","-1.72","-1.39","-1.39","-1.39"
"NIFTY SMLCAP 100","2002/2006","-10","-2.88","-1.69","-1.69","-1.69"
"NIFTY SMLCAP 100","2001/2005","-10","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-15","-2.97","-3.21","-2.59","-1.57"
"NIFTY SMLCAP 100","2004/2008","-15","-1.51","-2.24","-2.24","-2.24"
"NIFTY SMLCAP 100","2003/2007","-15","-9.68","-9.35","-9.35","-9.35"
"NIFTY SMLCAP 100","2002/2006","-15","-3.33","-2.43","-2.43","-2.43"
"NIFTY SMLCAP 100","2001/2005","-15","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-20","-8.87","-9.64","-6.37","-5.31"
"NIFTY SMLCAP 100","2004/2008","-20","-6.3","-7.5","-7.58","-7.58"
"NIFTY SMLCAP 100","2003/2007","-20","-22.73","-21.46","-21.46","-21.46"
"NIFTY SMLCAP 100","2002/2006","-20","1.35","2.17","2.17","2.17"
"NIFTY SMLCAP 100","2001/2005","-20","-1.67","-1.67","-1.67","-1.67"
"NIFTY SMLCAP 100","2005/2009","-25","-9.94","-6.17","-2.87","-1.96"
"NIFTY SMLCAP 100","2004/2008","-25","0.14","-2.39","-2.79","-2.79"
"NIFTY SMLCAP 100","2003/2007","-25","-19.7","-19.55","-19.55","-19.55"
"NIFTY SMLCAP 100","2002/2006","-25","6.6","6.71","6.71","6.71"
"NIFTY SMLCAP 100","2001/2005","-25","-1.67","-1.67","-1.67","-1.67"
