"INDEX","YEARS","L_MA","SMA_50","SMA_100","SMA_200","SMA_500"
"NIFTY 50","1993/1997","3","-0.85","-0.33","0.44","0.38"
"NIFTY 50","1994/1998","3","0.68","4.91","3.33","2.76"
"NIFTY 50","1995/1999","3","-2.4","1.49","-5.88","-5.84"
"NIFTY 50","1996/2000","3","-1.46","0.96","-5.65","-1.5"
"NIFTY 50","1997/2001","3","-1.26","0.86","-5.94","1.32"
"NIFTY 50","1998/2002","3","-0.92","1.77","-6.56","0.52"
"NIFTY 50","1999/2003","3","-3.52","-2.58","-8.88","-1.06"
"NIFTY 50","2000/2004","3","-3.41","-2.15","-4.64","-3.63"
"NIFTY 50","2001/2005","3","-4.43","-1.74","-7.61","-12.38"
"NIFTY 50","2002/2006","3","-5.86","-4.7","-9.15","-25.63"
"NIFTY 50","2003/2007","3","-8.15","-6.96","-14.34","-48.12"
"NIFTY 50","2004/2008","3","-3.43","5.94","-9.14","-28.5"
"NIFTY 50","2005/2009","3","-2.62","7.13","-11.94","-19.7"
"NIFTY 50","2006/2010","3","-1.77","10.25","-6.12","-10.55"
"NIFTY 50","2007/2011","3","-0.85","12.65","-1.69","-2"
"NIFTY 50","2008/2012","3","-1.51","6.61","-1.31","-5.65"
"NIFTY 50","2009/2013","3","-3.93","-4.62","-3.27","-3.57"
"NIFTY 50","2010/2014","3","-2.92","-3.29","-3.03","-1.99"
"NIFTY 50","2011/2015","3","-2.62","-4.28","-3.38","0.56"
"NIFTY 50","2012/2016","3","-3.12","-3.34","-3.87","0.92"
"NIFTY 50","2013/2017","3","-3.61","-4.01","-5.16","0.51"
"NIFTY 50","2014/2018","3","-3.32","-3.39","-2.59","2.34"
"NIFTY 50","1993/1997","5","2.28","-0.72","0.77","-0.48"
"NIFTY 50","1994/1998","5","3.98","3.96","3.61","2.06"
"NIFTY 50","1995/1999","5","-0.02","0.49","-5.66","-6.11"
"NIFTY 50","1996/2000","5","0.58","0.13","-4.19","-1.53"
"NIFTY 50","1997/2001","5","-1.37","-0.55","-4.31","0.81"
"NIFTY 50","1998/2002","5","-0.8","0.51","-4.77","0.24"
"NIFTY 50","1999/2003","5","-3.67","-3.5","-6.62","-0.74"
"NIFTY 50","2000/2004","5","-2.67","-3.01","-3.42","-3.19"
"NIFTY 50","2001/2005","5","-3.44","-3.32","-6.62","-11.88"
"NIFTY 50","2002/2006","5","-5.36","-6.32","-8.58","-25.11"
"NIFTY 50","2003/2007","5","-7.86","-9.04","-14.04","-47.59"
"NIFTY 50","2004/2008","5","-3.19","3.32","-9.4","-28.59"
"NIFTY 50","2005/2009","5","-3.32","4.1","-11.95","-20.36"
"NIFTY 50","2006/2010","5","-2.38","10.1","-5.71","-11.33"
"NIFTY 50","2007/2011","5","-1.5","12.53","-1.32","-2.85"
"NIFTY 50","2008/2012","5","-2.03","6.63","-0.92","-6.39"
"NIFTY 50","2009/2013","5","-3.79","-4.51","-2.8","-4.03"
"NIFTY 50","2010/2014","5","-2.62","-3.24","-2.87","-2.09"
"NIFTY 50","2011/2015","5","-2.2","-4.07","-3.5","0.36"
"NIFTY 50","2012/2016","5","-2.72","-3.11","-3.79","0.74"
"NIFTY 50","2013/2017","5","-3.39","-4.25","-4.95","0.3"
"NIFTY 50","2014/2018","5","-3.07","-3.89","-2.67","2.28"
"NIFTY 50","1993/1997","10","1.31","-1.7","0.21","-0.77"
"NIFTY 50","1994/1998","10","3.06","2.22","3.45","1.96"
"NIFTY 50","1995/1999","10","-1.35","-2.27","-4.82","-6.62"
"NIFTY 50","1996/2000","10","-0.59","-2.03","-3.54","-2.27"
"NIFTY 50","1997/2001","10","-0.76","-1.7","-3.51","-0.64"
"NIFTY 50","1998/2002","10","0.71","0.21","-4.03","-0.7"
"NIFTY 50","1999/2003","10","-2.36","-3.54","-7.05","-1.45"
"NIFTY 50","2000/2004","10","-1.13","-1.43","-3.55","-3.52"
"NIFTY 50","2001/2005","10","-2.32","-1.94","-6.53","-11.94"
"NIFTY 50","2002/2006","10","-4.43","-5.69","-8.01","-25.03"
"NIFTY 50","2003/2007","10","-8.22","-9.74","-13.61","-47.61"
"NIFTY 50","2004/2008","10","-3.62","2.73","9.02","-27.21"
"NIFTY 50","2005/2009","10","-3.72","1.68","3.52","-18.96"
"NIFTY 50","2006/2010","10","-2.58","7.17","12.55","-10.1"
"NIFTY 50","2007/2011","10","-1.56","9.75","13.14","5.34"
"NIFTY 50","2008/2012","10","-2.25","4.62","2.25","-5.37"
"NIFTY 50","2009/2013","10","-4.31","-4.88","-3.68","-3.53"
"NIFTY 50","2010/2014","10","-3.51","-3.33","-3.98","-1.78"
"NIFTY 50","2011/2015","10","-2.99","-4.17","-4.32","-0.56"
"NIFTY 50","2012/2016","10","-2.4","-3.13","-4.17","-0.6"
"NIFTY 50","2013/2017","10","-2.99","-4.33","-5.28","-0.76"
"NIFTY 50","2014/2018","10","-2.21","-3.45","-2.59","1.48"
"NIFTY BANK","2002/2006","3","-5.38","-12.67","-11.95","-17.02"
"NIFTY BANK","2003/2007","3","-5.95","-15.63","-15.91","-26.97"
"NIFTY BANK","2004/2008","3","-4.44","-4.04","5.29","5.67"
"NIFTY BANK","2005/2009","3","-5.95","-5.22","5.96","-3.38"
"NIFTY BANK","2006/2010","3","-5.49","-5.62","6.42","-9.12"
"NIFTY BANK","2007/2011","3","-3.32","-2.8","11.77","4.57"
"NIFTY BANK","2008/2012","3","-3.18","-3.67","-0.57","-9.2"
"NIFTY BANK","2009/2013","3","-2.9","-4.49","-8.35","-5.52"
"NIFTY BANK","2010/2014","3","-1.25","-1.99","-4.55","-0.89"
"NIFTY BANK","2011/2015","3","-1.96","-1.6","-2.96","0.76"
"NIFTY BANK","2012/2016","3","-2.9","-1.79","-3.52","0.07"
"NIFTY BANK","2013/2017","3","-3.15","-2.69","-4.72","-0.15"
"NIFTY BANK","2014/2018","3","-4.72","-2.57","-3.85","0.51"
"NIFTY BANK","2002/2006","5","-6.09","-10.95","-12.63","-16.15"
"NIFTY BANK","2003/2007","5","-7.12","-12.49","-16.29","-25.8"
"NIFTY BANK","2004/2008","5","-3.15","-3.26","5.1","6.77"
"NIFTY BANK","2005/2009","5","-4.57","-5.83","4.89","-0.98"
"NIFTY BANK","2006/2010","5","-4.37","-6.27","4.81","-7.31"
"NIFTY BANK","2007/2011","5","-1.66","-3.34","10.51","7.03"
"NIFTY BANK","2008/2012","5","-2.92","-4.6","-1.46","-8.32"
"NIFTY BANK","2009/2013","5","-3.89","-5.3","-8.97","-5.96"
"NIFTY BANK","2010/2014","5","-2","-3.13","-5.31","-0.84"
"NIFTY BANK","2011/2015","5","-2.36","-2.54","-4.08","0.64"
"NIFTY BANK","2012/2016","5","-2.88","-2.03","-4.19","-0.24"
"NIFTY BANK","2013/2017","5","-2.76","-2.84","-4.94","-0.34"
"NIFTY BANK","2014/2018","5","-3.57","-2.15","-3.81","0.45"
"NIFTY BANK","2002/2006","10","-7.47","-11.57","-9.79","-16.41"
"NIFTY BANK","2003/2007","10","-8.79","-12.76","-11.78","-25.26"
"NIFTY BANK","2004/2008","10","-3.56","-0.65","6.33","7.28"
"NIFTY BANK","2005/2009","10","-3.43","-2.7","4.14","0.14"
"NIFTY BANK","2006/2010","10","-3.6","-2.2","4.71","-6.14"
"NIFTY BANK","2007/2011","10","-0.86","0.85","9.3","7.73"
"NIFTY BANK","2008/2012","10","-2.12","-4","-2.95","-9.87"
"NIFTY BANK","2009/2013","10","-4.14","-7.2","-11.57","-8.59"
"NIFTY BANK","2010/2014","10","-2.6","-6.03","-7.9","-3.58"
"NIFTY BANK","2011/2015","10","-3.19","-4.8","-5.35","-1.28"
"NIFTY BANK","2012/2016","10","-2.9","-3.94","-5.09","-1.27"
"NIFTY BANK","2013/2017","10","-3.4","-4.83","-5.25","-3.61"
"NIFTY BANK","2014/2018","10","-2.6","-4.73","-3.08","-2.04"
"NIFTY MIDCAP 100","2003/2007","3","-11.92","-10.41","-13.59","-67.94"
"NIFTY MIDCAP 100","2004/2008","3","-2.34","6.9","-3.19","14.4"
"NIFTY MIDCAP 100","2005/2009","3","-1.23","10.3","-7.42","-12.48"
"NIFTY MIDCAP 100","2006/2010","3","0.1","13.28","-4.44","-6.38"
"NIFTY MIDCAP 100","2007/2011","3","0.33","16.44","11.15","0.21"
"NIFTY MIDCAP 100","2008/2012","3","-0.17","8.14","3.27","-6.54"
"NIFTY MIDCAP 100","2009/2013","3","-1.8","-5.78","-0.21","-6.55"
"NIFTY MIDCAP 100","2010/2014","3","-0.12","-3.25","2.29","-1.99"
"NIFTY MIDCAP 100","2011/2015","3","-2.01","-3.55","-2.02","-4.37"
"NIFTY MIDCAP 100","2012/2016","3","-2.03","-3.98","-3.75","-0.84"
"NIFTY MIDCAP 100","2013/2017","3","-2.86","-5.31","-6.29","-5.57"
"NIFTY MIDCAP 100","2014/2018","3","-3.47","-6.06","-5.04","4.98"
"NIFTY MIDCAP 100","2003/2007","5","-11.9","-11.15","-17.08","-67.94"
"NIFTY MIDCAP 100","2004/2008","5","-2.66","6.47","9.86","14.4"
"NIFTY MIDCAP 100","2005/2009","5","-2.68","9.89","1.82","-13.08"
"NIFTY MIDCAP 100","2006/2010","5","-1.67","13.58","7.01","-6.89"
"NIFTY MIDCAP 100","2007/2011","5","-1.76","17.17","22.89","-0.27"
"NIFTY MIDCAP 100","2008/2012","5","-2.32","8.91","4.44","-6.12"
"NIFTY MIDCAP 100","2009/2013","5","-4.01","-5.04","-0.62","-6.08"
"NIFTY MIDCAP 100","2010/2014","5","-0.2","-2.34","2.13","-1.38"
"NIFTY MIDCAP 100","2011/2015","5","-2.08","-3.8","-2.51","-3.65"
"NIFTY MIDCAP 100","2012/2016","5","-2.18","-3.99","-4.06","-1.09"
"NIFTY MIDCAP 100","2013/2017","5","-2.88","-5.19","-6.78","-5.96"
"NIFTY MIDCAP 100","2014/2018","5","-3.62","-5.78","-6.25","4.6"
"NIFTY MIDCAP 100","2003/2007","10","-10.99","-12.14","-18.2","-67.94"
"NIFTY MIDCAP 100","2004/2008","10","-2.48","9.39","9.1","14.4"
"NIFTY MIDCAP 100","2005/2009","10","-2.04","13.04","1.69","-14.17"
"NIFTY MIDCAP 100","2006/2010","10","-1.24","16.7","6.93","-7.85"
"NIFTY MIDCAP 100","2007/2011","10","-1.4","20.8","22.89","9.45"
"NIFTY MIDCAP 100","2008/2012","10","-1.78","7.44","3.64","-4.68"
"NIFTY MIDCAP 100","2009/2013","10","-3.65","-5.51","-1.39","-4.05"
"NIFTY MIDCAP 100","2010/2014","10","-0.44","-2.21","-0.51","0.53"
"NIFTY MIDCAP 100","2011/2015","10","-2.18","-3.55","-4.9","-3.2"
"NIFTY MIDCAP 100","2012/2016","10","-2.07","-3.89","-6.32","-1.15"
"NIFTY MIDCAP 100","2013/2017","10","-4.02","-5.47","-9.65","-5.49"
"NIFTY MIDCAP 100","2014/2018","10","-4.31","-4.92","-7.76","4.86"
"NIFTY SMLCAP 100","2005/2009","3","-0.88","36.4","-4.94","-15.22"
"NIFTY SMLCAP 100","2006/2010","3","-0.67","31","-5.25","-13.54"
"NIFTY SMLCAP 100","2007/2011","3","3.03","36.71","2.71","-3.94"
"NIFTY SMLCAP 100","2008/2012","3","1.83","14.78","-0.73","-8.22"
"NIFTY SMLCAP 100","2009/2013","3","-0.98","-1.71","-6.94","-7.17"
"NIFTY SMLCAP 100","2010/2014","3","0.19","1.71","-4.08","-0.53"
"NIFTY SMLCAP 100","2011/2015","3","-1.93","0.44","-4.3","-3.68"
"NIFTY SMLCAP 100","2012/2016","3","-2.04","0.52","-5.9","-0.83"
"NIFTY SMLCAP 100","2013/2017","3","-3.68","-2.12","-8.05","-5.23"
"NIFTY SMLCAP 100","2014/2018","3","-3","1.26","-3.76","1.56"
"NIFTY SMLCAP 100","2005/2009","5","0.21","33.65","-8.12","-5.11"
"NIFTY SMLCAP 100","2006/2010","5","0.11","28.56","-7.93","-5.04"
"NIFTY SMLCAP 100","2007/2011","5","1.88","34.26","-0.11","1.72"
"NIFTY SMLCAP 100","2008/2012","5","1.05","13.3","-3.3","-6.36"
"NIFTY SMLCAP 100","2009/2013","5","-1.51","-2.39","-6.56","-6.24"
"NIFTY SMLCAP 100","2010/2014","5","-0.17","-1.65","-2.82","0.38"
"NIFTY SMLCAP 100","2011/2015","5","-2.16","-2.98","-2.9","-3.32"
"NIFTY SMLCAP 100","2012/2016","5","-2.19","-3.18","-4.19","-0.7"
"NIFTY SMLCAP 100","2013/2017","5","-4.26","-6.28","-7.56","-5.13"
"NIFTY SMLCAP 100","2014/2018","5","-3.58","-0.76","-3.07","1.95"
"NIFTY SMLCAP 100","2005/2009","10","-0.66","31.07","14.84","-4.58"
"NIFTY SMLCAP 100","2006/2010","10","-0.52","26.23","11.48","-4.58"
"NIFTY SMLCAP 100","2007/2011","10","0.93","31.84","14.7","1.29"
"NIFTY SMLCAP 100","2008/2012","10","0.04","11.62","-2.4","-6.48"
"NIFTY SMLCAP 100","2009/2013","10","-1.89","-3.35","-7.23","-7.22"
"NIFTY SMLCAP 100","2010/2014","10","-0.47","-2.46","-3.37","-0.73"
"NIFTY SMLCAP 100","2011/2015","10","-2.49","-4","-3.43","-3.97"
"NIFTY SMLCAP 100","2012/2016","10","-2.23","-4","-4.24","-2.24"
"NIFTY SMLCAP 100","2013/2017","10","-4.23","-7.07","-8.05","-7.1"
"NIFTY SMLCAP 100","2014/2018","10","-4.26","-0.65","-4.15","-0.19"
